timestamp,site_id,generation_lag_1,generation_lag_2,generation_lag_3,generation_lag_24,generation_rolling_mean_3,generation_rolling_mean_6,generation_rolling_mean_24,generation_trend_3,hour,day_of_week,month,day_of_year,is_daytime,irradiance,cloud_cover,temperature,installed_capacity_mw,generation_mw
2025-01-02 00:00:00,solar-01,0.0,0.0,0.0,0.0,0.0,0.0,9.995,0.0,0,3,1,2,0,0.0,0.0,10.0,100.0,0.0
2025-01-02 01:00:00,solar-01,0.0,0.0,0.0,0.0,0.0,0.0,9.995,0.0,1,3,1,2,0,0.0,0.0,8.4,100.0,0.0
2025-01-02 02:00:00,solar-01,0.0,0.0,0.0,0.0,0.0,0.0,9.995,0.0,2,3,1,2,0,0.0,0.0,7.7,100.0,0.0
2025-01-02 03:00:00,solar-01,0.0,0.0,0.0,0.0,0.0,0.0,9.995,0.0,3,3,1,2,0,0.0,0.0,7.6,100.0,0.0
2025-01-02 04:00:00,solar-01,0.0,0.0,0.0,0.0,0.0,0.0,9.995,0.0,4,3,1,2,0,0.0,0.0,8.7,100.0,0.0
2025-01-02 05:00:00,solar-01,0.0,0.0,0.0,0.0,0.0,0.0,9.995,0.0,5,3,1,2,0,0.0,0.0,8.7,100.0,0.0
2025-01-02 06:00:00,solar-01,0.0,0.0,0.0,0.0,0.0,0.0,9.995,0.0,6,3,1,2,1,0.0,0.0,9.6,100.0,0.0
2025-01-02 07:00:00,solar-01,0.0,0.0,0.0,4.08,0.0,0.0,9.995,0.0,7,3,1,2,1,97.1,7.0,10.3,100.0,9.49
2025-01-02 08:00:00,solar-01,9.49,0.0,0.0,13.63,3.1633333333333336,1.5816666666666668,10.220416666666667,9.49,8,3,1,2,1,272.7,7.8,11.4,100.0,26.56
2025-01-02 09:00:00,solar-01,26.56,9.49,0.0,20.14,12.016666666666666,6.008333333333333,10.759166666666665,26.56,9,3,1,2,1,429.3,0.2,13.8,100.0,40.81
2025-01-02 10:00:00,solar-01,40.81,26.56,9.49,28.08,25.62,12.81,11.620416666666666,31.32,10,3,1,2,1,529.7,8.5,14.6,100.0,50.0
2025-01-02 11:00:00,solar-01,50.0,40.81,26.56,35.74,39.123333333333335,21.143333333333334,12.53375,23.44,11,3,1,2,1,586.8,0.0,16.5,100.0,54.67
2025-01-02 12:00:00,solar-01,54.67,50.0,40.81,33.48,48.49333333333334,30.255,13.3225,13.86,12,3,1,2,1,601.8,3.0,17.8,100.0,55.29
