site_id,timestamp,generation_mw,demand_mw,irradiance_w_m2,temperature_c,humidity_pct,wind_speed_m_s,cloud_cover_pct,net_power_mw,battery_soc_mwh,battery_soc_pct,backup_available_mw,estimated_unserved_mw,backup_status,hour,day_of_week,day_of_year,month,is_daylight,surplus_mw,shortfall_mw,risk_level,target_generation_next_hour_mw
SITE_001,2025-01-01 00:00:00,0.0,18.643907821063646,3.2384426905034625,20.593542878363788,73.65471497882722,4.531693250553328,0.1365917161405421,-18.643907821063646,1.356,3.39,15,0.0,available,0,2,1,1,0,0.0,18.643907821063646,HIGH,0.1814717036745256
SITE_001,2025-01-01 01:00:00,0.1814717036745256,13.77905626552954,2.712800217929823,21.238142958552825,63.7926584575003,4.068540492859486,0.17633692631219422,-13.597584561855015,0.0,0.0,15,0.0,available,1,2,1,1,1,0.0,13.597584561855015,HIGH,0.0
SITE_001,2025-01-01 02:00:00,0.0,17.83521031347718,0.0,18.19891707358632,75.19164819042588,3.1839518489575784,0.1874745035089167,-17.83521031347718,0.0,0.0,15,0.0,available,2,2,1,1,0,0.0,17.83521031347718,HIGH,0.0
SITE_001,2025-01-01 03:00:00,0.0,16.665202284274315,0.0,21.560059729811304,72.29557329840952,5.2218451794197325,0.11189661543744911,-16.665202284274315,0.0,0.0,15,0.0,available,3,2,1,1,0,0.0,16.665202284274315,HIGH,0.0
SITE_001,2025-01-01 04:00:00,0.0,17.844579232317493,0.0,22.44751361396873,93.96637113329821,4.973005550524132,0.1550032499751932,-17.844579232317493,0.0,0.0,15,0.0,available,4,2,1,1,0,0.0,17.844579232317493,HIGH,0.5538499349965578
SITE_001,2025-01-01 05:00:00,0.5538499349965578,18.29711436914535,0.0,23.205472858172758,69.37451160881255,5.393722471738247,0.09493636859942933,-17.743264434148795,0.0,0.0,15,0.0,available,5,2,1,1,1,0.0,17.743264434148795,HIGH,0.7928416696641868
SITE_001,2025-01-01 06:00:00,0.7928416696641868,20.824944933213164,0.0,26.67499922526458,73.38939199006904,4.078722458080425,0.15613244347071464,-20.032103263548976,0.0,0.0,15,0.032,available,6,2,1,1,1,0.0,20.032103263548976,HIGH,2.4257243424802972
SITE_001,2025-01-01 07:00:00,2.4257243424802972,25.088344371133804,128.21432004318024,26.015644731520485,71.2352590921633,6.2233525776817356,0.0811099236726246,-22.662620028653507,0.0,0.0,15,2.663,available,7,2,1,1,1,0.0,22.662620028653507,HIGH,6.071162718520693
SITE_001,2025-01-01 08:00:00,6.071162718520693,26.434232893688186,252.54759850237363,29.08964536401298,80.48203054664256,4.04165152430942,0.15710548510214573,-20.363070175167493,0.0,0.0,15,0.363,available,8,2,1,1,1,0.0,20.363070175167493,HIGH,15.326235523195507
SITE_001,2025-01-01 09:00:00,15.326235523195507,29.487718696546246,434.517080199269,30.003909181031762,66.92391902735733,7.007065795784048,0.022496901312696216,-14.161483173350739,0.0,0.0,15,0.0,available,9,2,1,1,1,0.0,14.161483173350739,HIGH,22.628644908897325
