site_id,timestamp,battery_soc_mwh,battery_soc_pct,backup_available_mw,estimated_unserved_mw,backup_status
SITE_001,2025-01-01 00:00:00,1.356,3.39,15,0.0,available
SITE_001,2025-01-01 01:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-01 02:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-01 03:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-01 04:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-01 05:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-01 06:00:00,0.0,0.0,15,0.032,available
SITE_001,2025-01-01 07:00:00,0.0,0.0,15,2.663,available
SITE_001,2025-01-01 08:00:00,0.0,0.0,15,0.363,available
SITE_001,2025-01-01 09:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-01 10:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-01 11:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-01 12:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-01 13:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-01 14:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-01 15:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-01 16:00:00,0.0,0.0,15,6.424,available
SITE_001,2025-01-01 17:00:00,0.0,0.0,15,17.398,available
SITE_001,2025-01-01 18:00:00,0.0,0.0,15,20.429,available
SITE_001,2025-01-01 19:00:00,0.0,0.0,15,21.145,available
SITE_001,2025-01-01 20:00:00,0.0,0.0,15,17.176,available
SITE_001,2025-01-01 21:00:00,0.0,0.0,15,12.128,available
SITE_001,2025-01-01 22:00:00,0.0,0.0,15,2.899,available
SITE_001,2025-01-01 23:00:00,0.0,0.0,15,1.558,available
SITE_001,2025-01-02 00:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 01:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 02:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 03:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 04:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 05:00:00,0.0,0.0,15,2.513,available
SITE_001,2025-01-02 06:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 07:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 08:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 09:00:00,0.0,0.0,15,0.124,available
SITE_001,2025-01-02 10:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 11:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 12:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 13:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 14:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 15:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-02 16:00:00,0.0,0.0,15,4.941,available
SITE_001,2025-01-02 17:00:00,0.0,0.0,15,16.626,available
SITE_001,2025-01-02 18:00:00,0.0,0.0,15,20.3,available
SITE_001,2025-01-02 19:00:00,0.0,0.0,15,21.596,available
SITE_001,2025-01-02 20:00:00,0.0,0.0,15,20.33,available
SITE_001,2025-01-02 21:00:00,0.0,0.0,15,12.509,available
SITE_001,2025-01-02 22:00:00,0.0,0.0,15,4.797,available
SITE_001,2025-01-02 23:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 00:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 01:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 02:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 03:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 04:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 05:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 06:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 07:00:00,0.0,0.0,15,2.85,available
SITE_001,2025-01-03 08:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 09:00:00,0.0,0.0,15,2.261,available
SITE_001,2025-01-03 10:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 11:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 12:00:00,3.744,9.36,15,0.0,available
SITE_001,2025-01-03 13:00:00,0.256,0.64,15,0.0,available
SITE_001,2025-01-03 14:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 15:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-03 16:00:00,0.0,0.0,15,5.071,available
SITE_001,2025-01-03 17:00:00,0.0,0.0,15,13.898,available
SITE_001,2025-01-03 18:00:00,0.0,0.0,15,20.577,available
SITE_001,2025-01-03 19:00:00,0.0,0.0,15,21.749,available
SITE_001,2025-01-03 20:00:00,0.0,0.0,15,17.3,available
SITE_001,2025-01-03 21:00:00,0.0,0.0,15,11.674,available
SITE_001,2025-01-03 22:00:00,0.0,0.0,15,2.909,available
SITE_001,2025-01-03 23:00:00,0.0,0.0,15,0.507,available
SITE_001,2025-01-04 00:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 01:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 02:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 03:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 04:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 05:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 06:00:00,0.0,0.0,15,1.855,available
SITE_001,2025-01-04 07:00:00,0.0,0.0,15,1.468,available
SITE_001,2025-01-04 08:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 09:00:00,0.0,0.0,15,0.741,available
SITE_001,2025-01-04 10:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 11:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 12:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 13:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 14:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 15:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-04 16:00:00,0.0,0.0,15,6.266,available
SITE_001,2025-01-04 17:00:00,0.0,0.0,15,16.155,available
SITE_001,2025-01-04 18:00:00,0.0,0.0,15,22.837,available
SITE_001,2025-01-04 19:00:00,0.0,0.0,15,21.415,available
SITE_001,2025-01-04 20:00:00,0.0,0.0,15,21.097,available
SITE_001,2025-01-04 21:00:00,0.0,0.0,15,11.797,available
SITE_001,2025-01-04 22:00:00,0.0,0.0,15,3.719,available
SITE_001,2025-01-04 23:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 00:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 01:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 02:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 03:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 04:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 05:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 06:00:00,0.0,0.0,15,0.78,available
SITE_001,2025-01-05 07:00:00,0.0,0.0,15,2.709,available
SITE_001,2025-01-05 08:00:00,0.0,0.0,15,4.631,available
SITE_001,2025-01-05 09:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 10:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 11:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 12:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 13:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 14:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 15:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-05 16:00:00,0.0,0.0,15,5.54,available
SITE_001,2025-01-05 17:00:00,0.0,0.0,15,16.202,available
SITE_001,2025-01-05 18:00:00,0.0,0.0,15,21.265,available
SITE_001,2025-01-05 19:00:00,0.0,0.0,15,22.744,available
SITE_001,2025-01-05 20:00:00,0.0,0.0,15,18.744,available
SITE_001,2025-01-05 21:00:00,0.0,0.0,15,13.654,available
SITE_001,2025-01-05 22:00:00,0.0,0.0,15,3.355,available
SITE_001,2025-01-05 23:00:00,0.0,0.0,15,0.0,available
SITE_001,2025-01-06 00:00:00,0.0,0.0,15,0.0,available
