site_id,timestamp,generation_mw,forecast_generation_mw,forecast_lower_mw,forecast_upper_mw,demand_mw,battery_soc_pct,surplus_mw,shortfall_mw,risk_level
SITE_001,2025-06-15 00:00:00,0.0,0.0,0.0,1.0,15.281792899484106,0.0,0.0,15.281792899484106,HIGH
SITE_001,2025-06-15 01:00:00,0.15405057945143258,0.16119096652045478,0.0,1.1796770360546267,17.16161300090726,0.0,0.0,17.007562421455827,HIGH
SITE_001,2025-06-15 02:00:00,0.4568697088112935,0.4583684151576768,0.0,1.513192780215032,13.857282184868444,0.0,0.0,13.40041247605715,HIGH
SITE_001,2025-06-15 03:00:00,0.0,0.0,0.0,1.0,17.5885244840803,0.0,0.0,17.5885244840803,HIGH
SITE_001,2025-06-15 04:00:00,0.0,0.0,0.0,1.0,15.134516659182868,0.0,0.0,15.134516659182868,HIGH
SITE_001,2025-06-15 05:00:00,0.0,0.0,0.0,1.0,19.16413174899067,0.0,0.0,19.16413174899067,HIGH
SITE_001,2025-06-15 06:00:00,0.18110234785136614,0.16554927832143573,0.0,1.1872815600635998,20.901423776177317,0.0,0.0,20.720321428325953,HIGH
SITE_001,2025-06-15 07:00:00,3.0427654836325506,2.9984874914489557,1.6333556334130495,4.363619349484862,23.328817640137913,0.0,0.0,20.286052156505363,HIGH
SITE_001,2025-06-15 08:00:00,8.50938057013767,8.433213914445975,6.412088246029455,10.454339582862495,28.72297196081225,0.0,0.0,20.21359139067458,HIGH
SITE_001,2025-06-15 09:00:00,22.691177846918468,21.898148757313166,18.175207415682948,25.621090098943384,32.36898976596188,0.0,0.0,9.67781191904341,HIGH
SITE_001,2025-06-15 10:00:00,31.351493097309156,32.37685988819771,27.61468071652061,37.139039059874804,31.577520779754774,0.0,0.0,0.22602768244561844,HIGH
SITE_001,2025-06-15 11:00:00,31.59715109956616,27.40598250145495,22.61432436950701,32.19764063340289,27.34470505448052,10.63,4.252446045085641,0.0,LOW
SITE_001,2025-06-15 12:00:00,29.67871720785576,28.407931321283574,23.846485256340884,32.96937738622626,25.689129388171875,20.61,3.989587819683887,0.0,LOW
SITE_001,2025-06-15 13:00:00,40.78559087108422,38.02467404861277,32.13040314408267,43.918944953142876,26.102473349684367,57.31,14.68311752139985,0.0,LOW
SITE_001,2025-06-15 14:00:00,24.01074716725058,21.431484997305336,17.550195337235266,25.312774657375407,26.043413704140345,52.23,0.0,2.0326665368897636,MEDIUM
SITE_001,2025-06-15 15:00:00,24.699258320428196,24.321088116411303,20.35717711795992,28.284999114862686,26.403508097051144,47.97,0.0,1.704249776622948,MEDIUM
SITE_001,2025-06-15 16:00:00,9.25197464682832,9.634903271336116,7.524666313716718,11.745140228955513,32.24405296198415,0.0,0.0,22.992078315155833,HIGH
SITE_001,2025-06-15 17:00:00,3.1083884156545554,3.4277425106858175,2.054735900807271,4.8007491205643635,37.26395828440682,0.0,0.0,34.155569868752266,HIGH
SITE_001,2025-06-15 18:00:00,0.0,0.0,0.0,1.0,41.75366196260551,0.0,0.0,41.75366196260551,HIGH
SITE_001,2025-06-15 19:00:00,0.4196183469066709,0.42971465236583767,0.0,1.4800688539946383,44.648800263620224,0.0,0.0,44.22918191671355,HIGH
SITE_001,2025-06-15 20:00:00,0.343873857182199,0.3568025409319982,0.0,1.398067403793862,39.38088715007816,0.0,0.0,39.03701329289596,HIGH
SITE_001,2025-06-15 21:00:00,0.07083249412399154,0.07070471457218348,0.0,1.0792046138670626,32.11416570357775,0.0,0.0,32.043333209453756,HIGH
SITE_001,2025-06-15 22:00:00,1.3345864442025852,1.2166474918722892,0.05649711856797901,2.3767978651765995,22.484551587881974,0.0,0.0,21.14996514367939,HIGH
SITE_001,2025-06-15 23:00:00,0.14561969677124742,0.1420296026948123,0.0,1.159503966307362,18.656552008874677,0.0,0.0,18.510932312103428,HIGH
SITE_001,2025-06-16 00:00:00,0.16529678034447418,0.14043529475411404,0.0,1.160270908395451,16.730888524655192,0.0,0.0,16.56559174431072,HIGH
SITE_001,2025-06-16 01:00:00,0.5877614617772752,0.5223943123249475,0.0,1.5929256877382205,16.18007985942379,0.0,0.0,15.592318397646514,HIGH
SITE_001,2025-06-16 02:00:00,0.0,0.0,0.0,1.0,15.322552987605414,0.0,0.0,15.322552987605414,HIGH
