timestamp,demand_mw,battery_soc,battery_capacity_mwh,battery_max_discharge_mw,backup_available,backup_capacity_mw
2025-01-01 00:00:00,24.45,47.0,200.0,50.0,True,25.0
2025-01-01 01:00:00,23.81,34.3,200.0,50.0,True,25.0
2025-01-01 02:00:00,20.65,23.3,200.0,50.0,True,25.0
2025-01-01 03:00:00,19.69,12.9,200.0,50.0,True,25.0
2025-01-01 04:00:00,21.86,1.2,200.0,50.0,True,25.0
2025-01-01 05:00:00,23.27,0.0,200.0,50.0,True,25.0
2025-01-01 06:00:00,28.37,0.0,200.0,50.0,True,25.0
2025-01-01 07:00:00,38.44,0.0,200.0,50.0,True,25.0
2025-01-01 08:00:00,43.77,0.0,200.0,50.0,True,25.0
2025-01-01 09:00:00,42.9,0.0,200.0,50.0,True,25.0
2025-01-01 10:00:00,41.01,0.0,200.0,50.0,True,25.0
2025-01-01 11:00:00,40.22,0.0,200.0,50.0,True,25.0
2025-01-01 12:00:00,36.52,0.0,200.0,50.0,True,25.0
2025-01-01 13:00:00,35.53,1.6,200.0,50.0,True,25.0
2025-01-01 14:00:00,36.1,1.2,200.0,50.0,True,25.0
2025-01-01 15:00:00,39.99,0.0,200.0,50.0,True,25.0
2025-01-01 16:00:00,48.47,0.0,200.0,50.0,True,25.0
2025-01-01 17:00:00,55.87,0.0,200.0,50.0,True,25.0
2025-01-01 18:00:00,63.64,0.0,200.0,50.0,True,25.0
2025-01-01 19:00:00,63.76,0.0,200.0,50.0,True,25.0
2025-01-01 20:00:00,59.88,0.0,200.0,50.0,True,25.0
2025-01-01 21:00:00,48.68,0.0,200.0,50.0,True,25.0
2025-01-01 22:00:00,37.73,0.0,200.0,50.0,True,25.0
2025-01-01 23:00:00,29.49,0.0,200.0,50.0,True,25.0
2025-01-02 00:00:00,24.76,0.0,200.0,50.0,True,25.0
2025-01-02 01:00:00,22.8,0.0,200.0,50.0,True,25.0
2025-01-02 02:00:00,22.15,0.0,200.0,50.0,True,25.0
2025-01-02 03:00:00,21.21,0.0,200.0,50.0,True,25.0
2025-01-02 04:00:00,23.75,0.0,200.0,50.0,True,25.0
2025-01-02 05:00:00,26.2,0.0,200.0,50.0,True,25.0
2025-01-02 06:00:00,31.57,0.0,200.0,50.0,True,25.0
2025-01-02 07:00:00,42.69,0.0,200.0,50.0,True,25.0
2025-01-02 08:00:00,40.9,0.0,200.0,50.0,True,25.0
2025-01-02 09:00:00,41.61,0.0,200.0,50.0,True,25.0
2025-01-02 10:00:00,40.24,4.6,200.0,50.0,True,25.0
2025-01-02 11:00:00,37.53,12.6,200.0,50.0,True,25.0
2025-01-02 12:00:00,35.3,22.0,200.0,50.0,True,25.0
2025-01-02 13:00:00,33.21,30.5,200.0,50.0,True,25.0
2025-01-02 14:00:00,36.04,32.9,200.0,50.0,True,25.0
2025-01-02 15:00:00,41.32,25.2,200.0,50.0,True,25.0
2025-01-02 16:00:00,46.93,5.4,200.0,50.0,True,25.0
2025-01-02 17:00:00,54.68,0.0,200.0,50.0,True,25.0
2025-01-02 18:00:00,63.51,0.0,200.0,50.0,True,25.0
2025-01-02 19:00:00,66.8,0.0,200.0,50.0,True,25.0
2025-01-02 20:00:00,57.59,0.0,200.0,50.0,True,25.0
2025-01-02 21:00:00,47.73,0.0,200.0,50.0,True,25.0
2025-01-02 22:00:00,36.76,0.0,200.0,50.0,True,25.0
2025-01-02 23:00:00,28.76,0.0,200.0,50.0,True,25.0
2025-01-03 00:00:00,25.95,0.0,200.0,50.0,True,25.0
2025-01-03 01:00:00,21.21,0.0,200.0,50.0,True,25.0
2025-01-03 02:00:00,21.04,0.0,200.0,50.0,True,25.0
2025-01-03 03:00:00,21.91,0.0,200.0,50.0,True,25.0
2025-01-03 04:00:00,20.2,0.0,200.0,50.0,True,25.0
2025-01-03 05:00:00,25.9,0.0,200.0,50.0,True,25.0
2025-01-03 06:00:00,31.22,0.0,200.0,50.0,True,25.0
2025-01-03 07:00:00,41.16,0.0,200.0,50.0,True,25.0
2025-01-03 08:00:00,43.54,0.0,200.0,50.0,True,25.0
2025-01-03 09:00:00,42.8,0.0,200.0,50.0,True,25.0
2025-01-03 10:00:00,38.86,6.0,200.0,50.0,True,25.0
2025-01-03 11:00:00,37.85,14.2,200.0,50.0,True,25.0
2025-01-03 12:00:00,36.48,23.2,200.0,50.0,True,25.0
2025-01-03 13:00:00,34.2,31.3,200.0,50.0,True,25.0
2025-01-03 14:00:00,36.7,33.1,200.0,50.0,True,25.0
2025-01-03 15:00:00,38.9,26.2,200.0,50.0,True,25.0
2025-01-03 16:00:00,46.34,6.7,200.0,50.0,True,25.0
2025-01-03 17:00:00,57.7,0.0,200.0,50.0,True,25.0
2025-01-03 18:00:00,61.77,0.0,200.0,50.0,True,25.0
2025-01-03 19:00:00,65.17,0.0,200.0,50.0,True,25.0
2025-01-03 20:00:00,57.5,0.0,200.0,50.0,True,25.0
2025-01-03 21:00:00,46.94,0.0,200.0,50.0,True,25.0
2025-01-03 22:00:00,37.28,0.0,200.0,50.0,True,25.0
2025-01-03 23:00:00,28.25,0.0,200.0,50.0,True,25.0
2025-01-04 00:00:00,22.84,0.0,200.0,50.0,True,25.0
2025-01-04 01:00:00,20.69,0.0,200.0,50.0,True,25.0
2025-01-04 02:00:00,19.51,0.0,200.0,50.0,True,25.0
2025-01-04 03:00:00,17.33,0.0,200.0,50.0,True,25.0
2025-01-04 04:00:00,20.41,0.0,200.0,50.0,True,25.0
2025-01-04 05:00:00,22.31,0.0,200.0,50.0,True,25.0
2025-01-04 06:00:00,25.18,0.0,200.0,50.0,True,25.0
2025-01-04 07:00:00,34.29,0.0,200.0,50.0,True,25.0
2025-01-04 08:00:00,35.51,0.0,200.0,50.0,True,25.0
2025-01-04 09:00:00,35.5,3.0,200.0,50.0,True,25.0
2025-01-04 10:00:00,35.08,9.7,200.0,50.0,True,25.0
