timestamp,cloud_cover,temperature,irradiance
2025-01-01 00:00:00,58.9,9.5,0.0
2025-01-01 01:00:00,57.8,8.9,0.0
2025-01-01 02:00:00,63.1,7.9,0.0
2025-01-01 03:00:00,74.8,8.7,0.0
2025-01-01 04:00:00,71.0,7.8,0.0
2025-01-01 05:00:00,67.7,9.1,0.0
2025-01-01 06:00:00,79.3,10.2,0.0
2025-01-01 07:00:00,83.0,11.4,40.6
2025-01-01 08:00:00,76.3,12.1,135.9
2025-01-01 09:00:00,78.6,13.2,204.8
2025-01-01 10:00:00,72.5,14.6,293.0
2025-01-01 11:00:00,67.2,16.3,375.5
2025-01-01 12:00:00,68.1,17.2,352.5
2025-01-01 13:00:00,51.7,19.1,415.2
2025-01-01 14:00:00,38.8,19.5,376.9
2025-01-01 15:00:00,36.7,20.0,230.3
2025-01-01 16:00:00,31.3,20.4,87.3
2025-01-01 17:00:00,37.1,20.6,0.0
2025-01-01 18:00:00,32.5,19.7,0.0
2025-01-01 19:00:00,24.3,18.0,0.0
2025-01-01 20:00:00,40.2,17.2,0.0
2025-01-01 21:00:00,40.7,15.2,0.0
2025-01-01 22:00:00,43.4,14.4,0.0
2025-01-01 23:00:00,33.9,12.7,0.0
2025-01-02 00:00:00,0.0,10.0,0.0
2025-01-02 01:00:00,0.0,8.4,0.0
2025-01-02 02:00:00,0.0,7.7,0.0
2025-01-02 03:00:00,0.0,7.6,0.0
2025-01-02 04:00:00,0.0,8.7,0.0
2025-01-02 05:00:00,0.0,8.7,0.0
2025-01-02 06:00:00,0.0,9.6,0.0
2025-01-02 07:00:00,7.0,10.3,97.1
2025-01-02 08:00:00,7.8,11.4,272.7
2025-01-02 09:00:00,0.2,13.8,429.3
2025-01-02 10:00:00,8.5,14.6,529.7
2025-01-02 11:00:00,0.0,16.5,586.8
2025-01-02 12:00:00,3.0,17.8,601.8
2025-01-02 13:00:00,0.0,18.8,557.4
2025-01-02 14:00:00,0.0,19.6,442.5
2025-01-02 15:00:00,0.0,19.2,281.2
2025-01-02 16:00:00,0.0,19.8,96.9
2025-01-02 17:00:00,0.0,20.1,0.0
2025-01-02 18:00:00,0.7,19.1,0.0
2025-01-02 19:00:00,0.0,18.9,0.0
2025-01-02 20:00:00,0.0,17.1,0.0
2025-01-02 21:00:00,0.0,15.6,0.0
2025-01-02 22:00:00,0.0,14.6,0.0
2025-01-02 23:00:00,0.0,12.8,0.0
2025-01-03 00:00:00,0.0,10.6,0.0
2025-01-03 01:00:00,0.0,8.8,0.0
2025-01-03 02:00:00,0.0,9.1,0.0
2025-01-03 03:00:00,0.0,8.6,0.0
2025-01-03 04:00:00,0.0,8.6,0.0
2025-01-03 05:00:00,0.0,8.5,0.0
2025-01-03 06:00:00,3.4,10.0,0.0
2025-01-03 07:00:00,11.4,10.8,97.8
2025-01-03 08:00:00,4.4,11.8,273.3
2025-01-03 09:00:00,2.4,13.5,433.1
2025-01-03 10:00:00,5.7,14.4,551.5
2025-01-03 11:00:00,13.9,15.6,599.1
2025-01-03 12:00:00,9.4,17.6,607.7
2025-01-03 13:00:00,7.8,18.8,558.9
2025-01-03 14:00:00,0.0,19.5,435.1
2025-01-03 15:00:00,0.0,19.8,272.1
2025-01-03 16:00:00,0.0,19.3,101.1
2025-01-03 17:00:00,11.1,19.9,0.0
2025-01-03 18:00:00,10.2,18.4,0.0
2025-01-03 19:00:00,18.0,17.3,0.0
2025-01-03 20:00:00,19.8,15.9,0.0
2025-01-03 21:00:00,13.2,14.7,0.0
2025-01-03 22:00:00,15.5,13.6,0.0
2025-01-03 23:00:00,27.0,12.2,0.0
2025-01-04 00:00:00,32.3,11.0,0.0
2025-01-04 01:00:00,42.9,10.3,0.0
2025-01-04 02:00:00,18.7,8.1,0.0
2025-01-04 03:00:00,25.0,7.1,0.0
2025-01-04 04:00:00,24.6,7.0,0.0
2025-01-04 05:00:00,21.2,7.3,0.0
2025-01-04 06:00:00,21.4,7.7,0.0
2025-01-04 07:00:00,4.8,9.1,101.0
2025-01-04 08:00:00,4.4,10.5,272.0
2025-01-04 09:00:00,8.7,11.9,435.8
2025-01-04 10:00:00,21.4,12.6,521.4
2025-01-04 11:00:00,16.7,14.1,588.3
2025-01-04 12:00:00,10.1,14.2,608.8
2025-01-04 13:00:00,6.8,15.3,538.5
2025-01-04 14:00:00,15.3,16.0,419.0
2025-01-04 15:00:00,18.0,16.6,267.0
2025-01-04 16:00:00,13.6,15.8,96.9
2025-01-04 17:00:00,18.0,15.6,0.0
2025-01-04 18:00:00,18.5,14.3,0.0
2025-01-04 19:00:00,26.0,12.9,0.0
2025-01-04 20:00:00,19.2,11.9,0.0
2025-01-04 21:00:00,16.2,11.4,0.0
2025-01-04 22:00:00,13.1,9.9,0.0
2025-01-04 23:00:00,1.8,8.0,0.0
2025-01-05 00:00:00,0.0,6.8,0.0
2025-01-05 01:00:00,0.0,6.4,0.0
2025-01-05 02:00:00,0.0,6.2,0.0
2025-01-05 03:00:00,0.0,7.4,0.0
2025-01-05 04:00:00,0.0,7.2,0.0
2025-01-05 05:00:00,0.0,7.9,0.0
2025-01-05 06:00:00,0.0,9.6,0.0
2025-01-05 07:00:00,0.0,11.5,97.7
2025-01-05 08:00:00,0.0,11.9,280.5
2025-01-05 09:00:00,0.0,13.4,446.5
2025-01-05 10:00:00,6.9,15.5,551.1
2025-01-05 11:00:00,8.2,18.3,597.4
2025-01-05 12:00:00,10.0,19.7,605.8
2025-01-05 13:00:00,8.9,20.4,531.0
2025-01-05 14:00:00,0.0,20.5,444.6
2025-01-05 15:00:00,0.0,21.7,278.3
2025-01-05 16:00:00,0.0,21.7,97.5
2025-01-05 17:00:00,17.2,20.8,0.0
2025-01-05 18:00:00,14.4,19.5,0.0
2025-01-05 19:00:00,15.8,18.3,0.0
2025-01-05 20:00:00,14.3,17.0,0.0
2025-01-05 21:00:00,4.0,14.7,0.0
2025-01-05 22:00:00,13.3,12.9,0.0
2025-01-05 23:00:00,18.5,10.6,0.0
2025-01-06 00:00:00,54.0,10.3,0.0
2025-01-06 01:00:00,44.7,9.0,0.0
2025-01-06 02:00:00,54.9,8.7,0.0
2025-01-06 03:00:00,41.5,9.0,0.0
2025-01-06 04:00:00,45.6,9.3,0.0
2025-01-06 05:00:00,62.1,10.0,0.0
2025-01-06 06:00:00,51.1,10.8,0.0
2025-01-06 07:00:00,44.8,11.5,82.1
2025-01-06 08:00:00,44.7,13.1,225.1
2025-01-06 09:00:00,39.7,14.4,367.0
2025-01-06 10:00:00,26.9,15.5,507.5
2025-01-06 11:00:00,28.6,17.3,567.9
2025-01-06 12:00:00,21.1,19.2,573.3
2025-01-06 13:00:00,26.8,19.3,499.9
2025-01-06 14:00:00,20.6,20.8,406.6
2025-01-06 15:00:00,34.9,21.2,254.7
2025-01-06 16:00:00,28.9,21.3,94.0
2025-01-06 17:00:00,27.2,21.2,0.0
2025-01-06 18:00:00,34.9,19.9,0.0
2025-01-06 19:00:00,25.2,18.9,0.0
2025-01-06 20:00:00,28.4,17.2,0.0
2025-01-06 21:00:00,39.9,14.9,0.0
2025-01-06 22:00:00,26.6,12.6,0.0
2025-01-06 23:00:00,29.3,11.4,0.0
2025-01-07 00:00:00,73.0,10.2,0.0
2025-01-07 01:00:00,79.8,10.1,0.0
2025-01-07 02:00:00,69.6,9.9,0.0
2025-01-07 03:00:00,60.0,10.1,0.0
2025-01-07 04:00:00,66.2,10.3,0.0
2025-01-07 05:00:00,69.9,11.0,0.0
2025-01-07 06:00:00,72.8,11.2,0.0
2025-01-07 07:00:00,76.2,12.4,50.4
2025-01-07 08:00:00,70.9,13.1,155.9
2025-01-07 09:00:00,73.5,14.2,233.2
2025-01-07 10:00:00,76.3,16.0,274.5
2025-01-07 11:00:00,70.7,16.9,348.8
2025-01-07 12:00:00,86.5,17.6,235.2
2025-01-07 13:00:00,89.2,18.8,182.6
2025-01-07 14:00:00,78.2,19.5,200.4
2025-01-07 15:00:00,83.4,20.1,116.5
2025-01-07 16:00:00,74.9,20.8,54.6
2025-01-07 17:00:00,81.5,20.6,0.0
2025-01-07 18:00:00,90.2,20.4,0.0
2025-01-07 19:00:00,82.1,18.1,0.0
2025-01-07 20:00:00,89.3,17.3,0.0
2025-01-07 21:00:00,91.1,16.0,0.0
2025-01-07 22:00:00,96.1,14.1,0.0
2025-01-07 23:00:00,100.0,12.2,0.0
2025-01-08 00:00:00,84.2,9.6,0.0
2025-01-08 01:00:00,75.0,8.1,0.0
2025-01-08 02:00:00,65.9,7.9,0.0
2025-01-08 03:00:00,58.5,7.5,0.0
2025-01-08 04:00:00,57.8,8.3,0.0
2025-01-08 05:00:00,60.6,8.6,0.0
2025-01-08 06:00:00,62.6,9.9,0.0
2025-01-08 07:00:00,68.7,10.3,60.6
2025-01-08 08:00:00,67.5,10.6,164.6
2025-01-08 09:00:00,78.0,11.4,218.7
2025-01-08 10:00:00,73.6,12.2,296.6
2025-01-08 11:00:00,93.5,12.3,168.6
2025-01-08 12:00:00,94.3,13.5,166.8
2025-01-08 13:00:00,83.1,15.1,238.1
2025-01-08 14:00:00,71.6,17.0,241.6
2025-01-08 15:00:00,73.8,18.3,149.1
2025-01-08 16:00:00,70.2,19.4,57.8
2025-01-08 17:00:00,74.5,19.7,0.0
2025-01-08 18:00:00,76.3,18.9,0.0
2025-01-08 19:00:00,73.6,16.9,0.0
2025-01-08 20:00:00,65.0,15.4,0.0
2025-01-08 21:00:00,52.0,13.9,0.0
2025-01-08 22:00:00,49.2,13.0,0.0
2025-01-08 23:00:00,57.2,12.0,0.0
2025-01-09 00:00:00,38.4,10.9,0.0
2025-01-09 01:00:00,28.4,9.2,0.0
2025-01-09 02:00:00,30.9,8.4,0.0
2025-01-09 03:00:00,34.8,8.4,0.0
2025-01-09 04:00:00,28.1,9.0,0.0
2025-01-09 05:00:00,30.5,9.5,0.0
2025-01-09 06:00:00,31.8,10.3,0.0
2025-01-09 07:00:00,23.4,11.5,98.4
2025-01-09 08:00:00,27.9,12.1,262.4
2025-01-09 09:00:00,33.6,14.1,389.8
2025-01-09 10:00:00,42.8,14.7,461.6
2025-01-09 11:00:00,50.6,14.8,469.1
2025-01-09 12:00:00,38.0,16.3,538.4
2025-01-09 13:00:00,30.5,18.3,489.0
2025-01-09 14:00:00,35.5,19.3,382.8
2025-01-09 15:00:00,39.9,20.1,240.3
2025-01-09 16:00:00,43.7,20.2,86.7
2025-01-09 17:00:00,73.8,20.3,0.0
2025-01-09 18:00:00,74.1,18.5,0.0
2025-01-09 19:00:00,78.8,16.1,0.0
2025-01-09 20:00:00,81.5,14.8,0.0
2025-01-09 21:00:00,81.4,13.9,0.0
2025-01-09 22:00:00,73.7,12.4,0.0
2025-01-09 23:00:00,75.4,11.3,0.0
2025-01-10 00:00:00,68.7,10.7,0.0
2025-01-10 01:00:00,63.6,9.7,0.0
2025-01-10 02:00:00,57.1,8.9,0.0
2025-01-10 03:00:00,55.9,8.2,0.0
2025-01-10 04:00:00,72.7,9.6,0.0
2025-01-10 05:00:00,54.1,10.1,0.0
2025-01-10 06:00:00,58.1,10.5,0.0
2025-01-10 07:00:00,43.2,10.5,88.7
2025-01-10 08:00:00,39.3,12.1,240.3
2025-01-10 09:00:00,48.3,12.7,356.9
2025-01-10 10:00:00,48.0,14.8,432.1
2025-01-10 11:00:00,38.6,14.9,524.1
2025-01-10 12:00:00,33.3,16.9,568.9
2025-01-10 13:00:00,39.7,18.0,469.3
2025-01-10 14:00:00,34.1,18.9,403.7
2025-01-10 15:00:00,36.8,19.3,250.7
2025-01-10 16:00:00,37.7,20.3,91.1
2025-01-10 17:00:00,33.0,20.2,0.0
2025-01-10 18:00:00,51.2,19.0,0.0
2025-01-10 19:00:00,55.1,16.8,0.0
2025-01-10 20:00:00,37.3,15.2,0.0
